counter,app,func,end_timestamp,duration,start_timestamp,Year,Month,Weekday Name,func_counts,wait
842909,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,313c03f53a0d31f70aec25f62efb33e7dd779725ca4af579018452d1204beaad,345604.932,4.911,345600.021,2021,2,Thursday,1440,0
842918,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345600.0613,0.004,345600.0573,2021,2,Thursday,45135,36
842920,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345600.2786,0.001,345600.2776,2021,2,Thursday,45135,220
842923,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345600.4406,0.001,345600.4396,2021,2,Thursday,45135,162
842924,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345600.6188,0.001,345600.6178,2021,2,Thursday,45135,178
842925,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345600.7493,0.001,345600.7483,2021,2,Thursday,45135,131
842926,17c37a0fdd5d1932b755c0e6447137bc08fd524f455e14fdac414f584de08dc5,c9f8e30e36d1aef62c10b3cfca6e289a93848a148d876dd514753040314f4817,345601.0835,0.019,345601.0645,2021,2,Thursday,720,316
842927,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345601.4688,0.001,345601.4678,2021,2,Thursday,45135,403
842928,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345601.7162,0.006,345601.7102,2021,2,Thursday,45135,242
842929,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345602.0565,0.001,345602.0555,2021,2,Thursday,45135,345
842930,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345602.191,0.001,345602.19,2021,2,Thursday,45135,135
842931,a9644719e5d173a27e098cffdd5e9227ba9c4a325d082c84d8bcadae6723f19c,bd5be891d0d10fbc3c59215d5f8159ea496433bc41adba7d8d10ea21d35c3e3a,345602.5505,0.078,345602.4725,2021,2,Thursday,2554,282
842932,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345602.5465,0.001,345602.5455,2021,2,Thursday,45135,73
842933,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345602.915,0.001,345602.914,2021,2,Thursday,45135,368
842934,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345603.0569,0.001,345603.0559,2021,2,Thursday,45135,142
842935,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345604.6113,0.001,345604.6103,2021,2,Thursday,45135,1554
842936,a9644719e5d173a27e098cffdd5e9227ba9c4a325d082c84d8bcadae6723f19c,bd5be891d0d10fbc3c59215d5f8159ea496433bc41adba7d8d10ea21d35c3e3a,345605.4497,0,345605.4497,2021,2,Thursday,2554,839
842937,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,345606.0603,0.001,345606.0593,2021,2,Thursday,45135,610
