counter,app,func,end_timestamp,duration,start_timestamp,Year,Month,Weekday Name,func_counts,wait
1751659,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036814.368,0.078,1036814.29,2021,2,Friday,5815,0
1751660,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036829.578,0.095,1036829.483,2021,2,Friday,5815,15193
1751662,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036841.445,0.124,1036841.321,2021,2,Friday,5815,11838
1751665,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036849.221,0.109,1036849.112,2021,2,Friday,5815,7792
1751669,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036873.738,0.093,1036873.645,2021,2,Friday,5815,24533
1751670,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036889.252,0.109,1036889.143,2021,2,Friday,5815,15498
1751671,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036895.115,0.109,1036895.006,2021,2,Friday,5815,5863
1751677,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036932.613,0.109,1036932.504,2021,2,Friday,5815,37498
1751678,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036946.368,0.109,1036946.259,2021,2,Friday,5815,13754
1751679,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,8e5f533dbf1092f56ac6c7542ef3bdec4661bd442c9b5e7537fabc7b8c03f5a8,1036948.871,0.093,1036948.778,2021,2,Friday,5815,2519
